ID,Rank,UTC,ItemNo,GroupingFactor,Grouped,ACC,RT_1,ChoiceLoc,ChoiceSym,RT_2
1,16,1415898840762,22,Stage Partition,yes,yes,1662,right,A,815
1,17,1415898844550,19,Stage Partition,yes,yes,1207,left,A,1176
1,10,1415898814974,13,Background,yes,yes,2433,right,A,2607
1,14,1415898832422,10,Background,yes,yes,1848,left,A,1542
1,15,1415898836878,7,Distance,yes,yes,1322,left,A,1729
1,22,1415898863701,4,Distance,yes,yes,1688,right,A,939
1,20,1415898855736,1,None,no,yes,1232,left,A,801
1,9,1415898808515,0,None,yes,yes,3682,right,C,2468
1,11,1415898820028,0,None,yes,yes,1551,right,C,2048
1,12,1415898824147,0,None,yes,yes,1166,top,C,1547
1,13,1415898827624,0,None,yes,yes,901,top,C,1171
1,18,1415898848914,0,None,yes,yes,1392,left,C,1566
1,19,1415898852298,0,None,yes,yes,1101,left,C,866
1,21,1415898859670,0,None,yes,yes,1137,right,C,1389
2,18,1415837522035,22,Stage Partition,yes,yes,1899,right,A,1424
2,10,1415837471299,19,Stage Partition,yes,yes,2878,left,A,5719
2,20,1415837530801,13,Background,no,yes,1821,left,A,1269
2,17,1415837517288,10,Background,no,yes,6485,right,A,2535
2,19,1415837526248,7,Distance,yes,yes,1593,left,A,1201
2,22,1415837539680,4,Distance,yes,yes,1854,right,A,1209
2,15,1415837501682,1,None,no,yes,1945,right,A,2362
2,9,1415837461219,0,None,yes,yes,2799,right,C,2331
2,11,1415837476398,0,None,yes,yes,1675,right,C,1891
2,12,1415837483948,0,None,yes,yes,1794,right,C,4321
2,13,1415837490735,0,None,yes,yes,1758,left,C,3534
2,14,1415837495866,0,None,yes,yes,1547,left,C,2085
2,16,1415837506761,0,None,yes,yes,1924,top,C,1717
2,21,1415837535208,0,None,yes,yes,1554,top,C,1394
3,22,1415900047826,22,Stage Partition,yes,yes,1343,right,A,551
3,14,1415900014908,19,Stage Partition,yes,yes,1894,left,A,1583
3,13,1415900010024,13,Background,yes,yes,1796,right,A,2194
