ID,Rank,UTC,ItemNo,GroupingFactor,Grouped,ACC,RT_1,ChoiceLoc,ChoiceSym,RT_2
1,9,1415655199571,0,None,yes,TRUE,2029,right,C,1741
1,10,1415655206209,22,Stage Partition,no,TRUE,1739,left,A,3494
1,11,1415655216282,7,Distance,no,TRUE,2235,left,A,6431
1,12,1415655220650,0,None,yes,TRUE,1642,left,C,1318
1,13,1415655224482,0,None,yes,TRUE,1123,top,C,1303
1,14,1415655231267,10,Background,no,TRUE,1929,right,A,3440
1,15,1415655236890,1,None,no,TRUE,2515,right,A,1702
1,16,1415655240473,0,None,yes,TRUE,1412,right,C,765
1,17,1415655243665,0,None,yes,TRUE,1021,left,C,765
1,18,1415655248611,19,Stage Partition,no,TRUE,1764,right,A,1774
1,19,1415655252835,0,None,yes,TRUE,1403,top,C,1414
1,20,1415655256890,13,Background,no,TRUE,1448,left,A,1198
1,21,1415655261370,4,Distance,yes,TRUE,1612,left,A,1462
1,22,1415655265875,0,None,yes,TRUE,1380,right,C,1719
2,9,1415372628439,0,None,yes,TRUE,5523,right,C,3809
2,10,1415372642983,4,Distance,no,TRUE,4555,right,A,8545
2,11,1415372651180,7,Distance,yes,TRUE,2174,right,A,4587
2,12,1415372660478,0,None,yes,TRUE,4134,top,C,3711
2,13,1415372670186,22,Stage Partition,no,TRUE,3601,left,A,4639
2,14,1415372680515,10,Background,no,TRUE,4022,right,A,4765
2,15,1415372689618,19,Stage Partition,no,TRUE,3986,right,A,3670
2,16,1415372701449,1,None,no,TRUE,4426,right,A,5939
2,17,1415372711053,0,None,yes,TRUE,4193,left,C,3963
2,18,1415372719694,0,None,yes,TRUE,3549,left,C,3614
2,19,1415372728434,0,None,yes,TRUE,3558,top,C,3734
2,20,1415372737167,0,None,yes,TRUE,3646,right,C,3636
2,21,1415372745946,0,None,yes,TRUE,3422,right,C,3870
2,22,1415372755071,13,Background,no,TRUE,3975,left,A,3685
3,9,1415653825614,0,None,yes,TRUE,2146,right,C,1940
3,10,1415653833871,19,Stage Partition,yes,TRUE,2602,left,A,4246
3,11,1415653840254,10,Background,no,TRUE,2384,right,A,2574
3,12,1415653845751,7,Distance,no,TRUE,2583,left,A,1506
3,13,1415653850919,0,None,yes,TRUE,1792,top,C,1966
3,14,1415653855265,0,None,yes,TRUE,1570,left,C,1366
3,15,1415653859457,0,None,yes,TRUE,1506,right,C,1278
3,16,1415653863506,0,None,yes,TRUE,1283,top,C,1358
3,17,1415653867354,0,None,yes,TRUE,1194,right,C,1246
3,18,1415653872353,22,Stage Partition,yes,TRUE,2208,right,A,1382
3,19,1415653876305,4,Distance,no,TRUE,1642,right,A,902
3,20,1415653880539,13,Background,yes,TRUE,1646,right,A,1175
3,21,1415653884818,0,None,yes,TRUE,1601,left,C,1269
3,22,1415653888930,1,None,no,TRUE,1737,right,A,965
4,9,1415628322694,0,None,yes,TRUE,3236,right,C,2152
4,10,1415628331410,10,Background,yes,TRUE,2876,left,A,4401
4,11,1415628337190,0,None,yes,TRUE,2087,left,C,2273
4,12,1415628343039,4,Distance,no,TRUE,2393,right,A,2048
4,13,1415628348215,1,None,no,TRUE,2008,left,A,1755
4,14,1415628354282,0,None,yes,TRUE,2060,right,C,2593
4,15,1415628359619,13,Background,no,TRUE,1947,left,A,1980
4,16,1415628365482,0,None,yes,TRUE,2274,top,C,2176
4,17,1415628370499,19,Stage Partition,no,TRUE,2095,right,A,1493
4,18,1415628375395,22,Stage Partition,yes,TRUE,1720,right,A,1763
4,19,1415628380968,0,None,yes,TRUE,2077,right,C,2086
4,20,1415628386419,0,None,yes,TRUE,2155,top,C,1879
4,21,1415628391915,0,None,yes,TRUE,2493,left,C,1591
4,22,1415628396768,7,Distance,no,TRUE,1807,left,A,1627
