ID,Rank,UTC,ItemNo,GroupingFactor,Grouped,ACC,RT_1,ChoiceLoc,ChoiceSym,RT_2
1,14,1418741679203,22,Line,yes,yes,2682,right,A,2169
1,22,1418741726283,19,Line,yes,yes,1865,left,A,2266
1,18,1418741701351,13,Ellipse,yes,yes,2300,right,A,1986
1,25,1418741744095,10,Ellipse,no,yes,2307,right,A,1586
1,13,1418741672943,7,Dist,no,yes,2688,right,A,3482
1,20,1418741714359,4,Dist,no,yes,2362,left,A,3622
1,15,1418741685243,1,None,no,yes,1999,right,A,2634
1,12,1418741665364,0,None,yes,yes,3400,right,C,2809
1,16,1418741691063,0,None,yes,yes,2137,left,C,2274
1,17,1418741695647,0,None,yes,yes,1253,top,C,1922
1,19,1418741706967,0,None,yes,yes,2256,right,C,1950
1,21,1418741720743,0,None,yes,yes,1567,top,C,3410
1,23,1418741732995,0,None,yes,yes,3290,left,C,2014
1,24,1418741738791,0,None,no,no,1874,right,C,2514
2,17,1418741754674,22,Line,yes,yes,1908,right,A,2229
2,14,1418741737434,19,Line,no,yes,2618,right,A,2350
2,19,1418741767330,13,Ellipse,no,yes,3496,left,A,2374
2,13,1418741731058,10,Ellipse,no,yes,2668,right,A,2894
2,22,1418741781602,7,Dist,no,yes,2162,right,A,1326
2,9,1418741708107,4,Dist,yes,yes,3151,right,A,2500
2,16,1418741749130,1,None,no,yes,2202,right,A,2654
2,10,1418741713226,0,None,yes,yes,1897,right,C,1806
2,11,1418741719474,0,None,yes,yes,1783,right,C,3053
2,12,1418741724074,0,None,no,no,1683,right,C,1509
2,15,1418741742867,0,None,yes,yes,1786,left,C,2238
2,18,1418741760051,0,None,yes,yes,1770,top,C,2198
2,20,1418741771980,0,None,yes,yes,1587,left,C,1653
2,21,1418741776707,0,None,yes,yes,1361,top,C,1958
3,20,1418741003573,22,Line,yes,yes,3898,right,A,2201
3,16,1418740978329,19,Line,no,yes,2408,right,A,3031
3,21,1418741008051,13,Ellipse,no,yes,1827,left,A,1236
3,9,1418740923654,10,Ellipse,no,yes,3680,right,A,3791
3,13,1418740956627,7,Dist,no,yes,2206,right,A,2351
3,12,1418740950650,4,Dist,yes,yes,1796,right,A,1138
3,14,1418740964361,1,None,no,yes,2486,right,A,3844
3,10,1418740932397,0,None,yes,yes,1989,right,C,5337
3,11,1418740946296,0,None,yes,yes,6663,left,C,5818
3,15,1418740971477,0,None,yes,yes,1957,top,C,3750
3,17,1418740984513,0,None,yes,yes,1699,right,C,3070
3,18,1418740990242,0,None,yes,yes,1765,left,C,2547
3,19,1418740996055,0,None,no,no,2295,right,C,2104
3,22,1418741012920,0,None,yes,yes,2067,top,C,1387
4,13,1418743866368,22,Line,yes,yes,2049,right,A,14972
4,9,1418743829455,19,Line,no,yes,3721,right,A,4137
4,22,1418743930070,13,Ellipse,no,yes,2093,left,A,3833
4,17,1418743895134,10,Ellipse,no,yes,2637,right,A,9042
4,18,1418743907745,7,Dist,no,yes,2449,right,A,8750
4,20,1418743917839,4,Dist,yes,yes,1841,right,A,1700
4,11,1418743842510,1,None,no,yes,2369,right,A,1841
4,10,1418743836880,0,None,yes,yes,2129,right,C,3876
4,12,1418743847935,0,None,yes,yes,1841,top,C,2164
4,14,1418743871525,0,None,no,no,2052,right,C,1685
4,15,1418743876726,0,None,yes,yes,1745,right,C,2044
4,16,1418743882015,0,None,yes,yes,1613,top,C,2256
4,19,1418743912886,0,None,yes,yes,2329,left,C,1396
4,21,1418743922720,0,None,yes,yes,2145,left,C,1312
5,20,1418740456764,22,Line,yes,yes,2193,right,A,2080
5,22,1418740466642,19,Line,no,yes,1519,right,A,1972
5,21,1418740461744,13,Ellipse,yes,yes,1799,right,A,1773
5,17,1418740441696,10,Ellipse,no,yes,2049,right,A,1679
5,9,1418740403872,7,Dist,no,yes,2318,right,A,2175
5,18,1418740446507,4,Dist,yes,yes,1631,right,A,1776
5,14,1418740427637,1,None,no,yes,1753,right,A,2836
5,10,1418740408587,0,None,yes,yes,1643,right,C,1664
5,11,1418740412981,0,None,yes,yes,1402,left,C,1587
5,12,1418740417438,0,None,yes,yes,1319,right,C,1724
5,13,1418740421642,0,None,no,no,1227,right,C,1573
5,15,1418740432045,0,None,yes,yes,1406,left,C,1598
5,16,1418740436556,0,None,yes,yes,1428,top,C,1676
5,19,1418740451085,0,None,yes,yes,1574,top,C,1598
6,19,1418742232615,22,Line,no,yes,1639,left,A,1564
6,22,1418742246624,19,Line,yes,yes,1839,left,A,1643
6,20,1418742237228,13,Ellipse,no,yes,1541,left,A,1658
6,9,1418742187668,10,Ellipse,no,yes,2511,right,A,2581
6,10,1418742192370,7,Dist,yes,yes,1671,left,A,1620
6,14,1418742210867,4,Dist,no,yes,1586,left,A,1670
6,13,1418742206203,1,None,no,yes,1607,right,A,1526
6,11,1418742197496,0,None,yes,yes,2097,left,C,1605
6,12,1418742201662,0,None,yes,yes,1183,top,C,1572
6,15,1418742215363,0,None,yes,yes,1502,right,C,1582
6,16,1418742219503,0,None,yes,yes,1133,right,C,1596
6,17,1418742223487,0,None,no,no,1072,right,C,1502
6,18,1418742228002,0,None,yes,yes,1750,left,C,1356
6,21,1418742241726,0,None,yes,yes,1461,top,C,1619
7,19,1418741055845,22,Line,no,yes,2782,left,A,1073
7,21,1418741065222,19,Line,yes,yes,1429,left,A,1060
7,20,1418741061328,13,Ellipse,yes,yes,2517,right,A,1557
7,9,1418740999302,10,Ellipse,no,yes,4679,right,A,3960
7,15,1418741033426,7,Dist,yes,yes,2744,left,A,1593
7,18,1418741050584,4,Dist,yes,yes,2750,right,A,1802
7,13,1418741021813,1,None,no,yes,2450,left,A,1698
7,10,1418741005315,0,None,no,no,2127,right,C,2476
7,11,1418741011012,0,None,yes,yes,2412,left,C,1877
7,12,1418741016258,0,None,yes,yes,1919,left,C,1921
7,14,1418741027686,0,None,yes,yes,2096,top,C,2370
7,16,1418741039039,0,None,yes,yes,1899,right,C,2310
7,17,1418741044628,0,None,yes,yes,1921,top,C,2263
7,22,1418741069903,0,None,yes,yes,1672,right,C,1605
8,15,1418741285840,22,Line,yes,yes,1279,right,A,599
8,9,1418741260149,19,Line,no,yes,1945,right,A,1493
8,17,1418741292472,13,Ellipse,no,yes,1229,left,A,480
8,22,1418741306261,10,Ellipse,no,yes,1107,right,A,357
8,21,1418741303378,7,Dist,yes,yes,983,left,A,122
8,14,1418741282543,4,Dist,yes,yes,2138,right,A,1756
8,19,1418741297982,1,None,no,yes,660,right,A,366
8,10,1418741264826,0,None,yes,yes,1508,right,C,1752
8,11,1418741268860,0,None,yes,yes,1128,right,C,1370
8,12,1418741273327,0,None,yes,yes,1112,left,C,1913
8,13,1418741277216,0,None,yes,yes,1140,left,C,1333
8,16,1418741289321,0,None,yes,yes,884,top,C,947
8,18,1418741295518,0,None,yes,yes,1089,top,C,532
8,20,1418741300848,0,None,no,no,731,right,C,718
9,18,1418740539396,22,Line,yes,yes,1826,right,A,1580
9,13,1418740515072,19,Line,no,yes,1960,right,A,5390
9,21,1418740552846,13,Ellipse,yes,yes,1890,right,A,1410
9,17,1418740534580,10,Ellipse,no,yes,2120,right,A,2110
9,10,1418740496819,7,Dist,no,yes,2087,right,A,4056
9,20,1418740548119,4,Dist,yes,yes,1576,right,A,1260
9,15,1418740524803,1,None,no,yes,1610,right,A,2460
9,9,1418740489276,0,None,yes,yes,2163,left,C,2926
9,11,1418740501782,0,None,yes,yes,1560,right,C,1980
9,12,1418740506305,0,None,yes,yes,1637,top,C,1479
9,14,1418740519310,0,None,yes,yes,1366,left,C,1460
9,16,1418740528927,0,None,yes,yes,1290,top,C,1420
9,19,1418740543873,0,None,no,no,1590,right,C,1480
9,22,1418740557602,0,None,yes,yes,1189,right,C,2150
10,18,1418742090684,22,Line,yes,yes,2507,right,A,1464
10,20,1418742099429,19,Line,no,yes,1618,right,A,1494
10,21,1418742104394,13,Ellipse,yes,yes,1546,right,A,2007
10,14,1418742071707,10,Ellipse,no,yes,2042,right,A,1661
10,12,1418742058808,7,Dist,yes,yes,2032,left,A,4143
10,13,1418742066575,4,Dist,no,yes,2094,left,A,4266
10,17,1418742085305,1,None,no,yes,1719,right,A,1612
10,9,1418742042050,0,None,yes,yes,2896,top,C,1592
10,10,1418742046419,0,None,no,no,1351,right,C,1609
10,11,1418742051223,0,None,yes,yes,1360,right,C,2037
10,15,1418742076394,0,None,yes,yes,1657,top,C,1622
10,16,1418742080569,0,None,yes,yes,1312,left,C,1456
10,19,1418742094909,0,None,yes,yes,1454,right,C,1363
10,22,1418742108380,0,None,yes,yes,1172,left,C,1405
11,15,1418741623941,22,Line,yes,yes,1897,right,A,2155
11,14,1418741618457,19,Line,no,yes,2195,right,A,2146
11,22,1418741659623,13,Ellipse,no,yes,2719,left,A,2356
11,9,1418741593686,10,Ellipse,yes,yes,3864,left,A,6957
11,20,1418741648697,7,Dist,no,yes,2016,right,A,1760
11,16,1418741629144,4,Dist,no,yes,2036,left,A,1743
11,18,1418741638615,1,None,no,yes,1644,right,A,2048
11,10,1418741598488,0,None,yes,yes,1759,left,C,1616
11,11,1418741602814,0,None,yes,yes,1230,top,C,1670
11,12,1418741607991,0,None,no,no,1660,right,C,2089
11,13,1418741612694,0,None,yes,yes,1428,right,C,1843
11,17,1418741633500,0,None,yes,yes,1420,right,C,1506
11,19,1418741643484,0,None,yes,yes,1697,top,C,1747
11,21,1418741653120,0,None,yes,yes,1209,left,C,1787
12,17,1418742162449,22,Line,yes,yes,1459,right,A,518
12,10,1418742132009,19,Line,no,yes,2238,right,A,2276
12,12,1418742140732,13,Ellipse,no,yes,1910,left,A,1688
12,18,1418742166577,10,Ellipse,no,yes,1255,right,A,1461
12,16,1418742159065,7,Dist,no,yes,1586,right,A,2423
12,13,1418742145177,4,Dist,yes,yes,1618,right,A,1420
12,15,1418742153649,1,None,no,yes,1467,left,A,1045
12,9,1418742126086,0,None,yes,yes,2022,right,C,1393
12,11,1418742135714,0,None,yes,yes,1137,left,C,1157
12,14,1418742149730,0,None,yes,yes,1691,right,C,1453
12,19,1418742170562,0,None,yes,yes,1579,left,C,998
12,20,1418742174777,0,None,no,no,1539,right,C,1270
12,21,1418742178992,0,None,yes,yes,1226,top,C,1580
12,22,1418742182601,0,None,yes,yes,1091,top,C,1111
13,12,1418740966670,22,Line,no,yes,2666,left,A,3287
13,16,1418740988327,19,Line,yes,yes,1731,left,A,1613
13,10,1418740951410,13,Ellipse,yes,yes,3662,right,A,7307
13,20,1418741010527,10,Ellipse,no,yes,3224,right,A,598
13,17,1418740992785,7,Dist,yes,yes,1609,left,A,1437
13,13,1418740973884,4,Dist,yes,yes,2620,right,A,3176
13,9,1418740939019,1,None,no,yes,2808,right,A,1915
13,11,1418740959307,0,None,no,no,2909,right,C,3574
13,14,1418740979313,0,None,yes,yes,2343,right,C,1676
13,15,1418740983554,0,None,yes,yes,1792,left,C,1036
13,18,1418741000078,0,None,yes,yes,2758,top,C,3109
13,19,1418741005301,0,None,yes,yes,1541,right,C,2271
13,21,1418741015349,0,None,yes,yes,2119,left,C,1283
13,22,1418741019547,0,None,yes,yes,1554,top,C,1231
14,16,1418741481025,22,Line,no,yes,1453,left,A,1164
14,15,1418741477001,19,Line,no,yes,1609,right,A,3284
14,14,1418741470690,13,Ellipse,no,yes,1862,left,A,1880
14,11,1418741455826,10,Ellipse,yes,yes,2212,left,A,4282
14,12,1418741460498,7,Dist,yes,yes,1592,left,A,1673
14,21,1418741506169,4,Dist,no,yes,1754,left,A,2370
14,18,1418741490661,1,None,no,yes,1578,left,A,1676
14,9,1418741442904,0,None,no,no,2324,right,C,1935
14,10,1418741447900,0,None,yes,yes,1412,right,C,2176
14,13,1418741465532,0,None,yes,yes,1946,top,C,1677
14,17,1418741486002,0,None,yes,yes,2153,top,C,1416
14,19,1418741495718,0,None,yes,yes,2084,left,C,1565
14,20,1418741500637,0,None,yes,yes,1485,right,C,2028
14,22,1418741510771,0,None,yes,yes,1788,left,C,1405
15,13,1418741284627,22,Line,yes,yes,1843,right,A,4464
15,12,1418741276912,19,Line,no,yes,1881,right,A,7960
15,19,1418741315212,13,Ellipse,yes,yes,1618,right,A,3745
15,15,1418741296611,10,Ellipse,yes,yes,1827,left,A,2930
15,16,1418741300883,7,Dist,yes,yes,1388,left,A,1478
15,22,1418741327722,4,Dist,yes,yes,1373,right,A,2513
15,14,1418741290437,1,None,no,yes,1517,left,A,2886
15,9,1418741257635,0,None,yes,yes,2447,left,C,1549
15,10,1418741261861,0,None,no,no,1442,right,C,1375
15,11,1418741265662,0,None,yes,yes,1197,left,C,1199
15,17,1418741304855,0,None,yes,yes,1477,top,C,1087
15,18,1418741308440,0,None,yes,yes,1308,right,C,870
15,20,1418741319006,0,None,yes,yes,1268,right,C,1118
15,21,1418741322430,0,None,yes,yes,1222,top,C,796
16,21,1418741492784,22,Line,yes,yes,1311,right,A,1104
16,23,1418741501711,19,Line,yes,yes,1688,left,A,983
16,24,1418741506011,13,Ellipse,no,yes,1658,left,A,1150
16,16,1418741469760,10,Ellipse,no,yes,2650,right,A,1402
16,19,1418741485708,7,Dist,yes,yes,1507,left,A,1142
16,20,1418741488952,4,Dist,yes,yes,1064,right,A,693
16,15,1418741464297,1,None,no,yes,1855,left,A,3650
16,11,1418741445216,0,None,yes,yes,2105,top,C,1484
16,12,1418741449016,0,None,yes,yes,1102,left,C,1275
16,13,1418741453241,0,None,no,no,1055,right,C,1760
16,14,1418741457299,0,None,yes,yes,1339,right,C,1278
16,17,1418741474337,0,None,yes,yes,1619,top,C,1431
16,18,1418741481642,0,None,yes,yes,4763,left,C,1128
16,22,1418741497616,0,None,yes,yes,1976,right,C,1389
17,15,1418741968458,22,Line,yes,yes,2102,right,A,3350
17,12,1418741951508,19,Line,no,yes,2951,right,A,1677
17,11,1418741945472,13,Ellipse,yes,yes,2218,right,A,3485
17,16,1418741973842,10,Ellipse,no,yes,2351,right,A,1618
17,21,1418742002449,7,Dist,no,yes,2050,right,A,5871
17,10,1418741938329,4,Dist,yes,yes,3310,right,A,2537
17,22,1418742008170,1,None,no,yes,2583,right,A,1729
17,9,1418741931068,0,None,yes,yes,6200,right,C,2092
17,13,1418741956577,0,None,yes,yes,1833,right,C,1828
17,14,1418741961600,0,None,yes,yes,1932,left,C,1688
17,17,1418741979055,0,None,yes,yes,1546,top,C,2258
17,18,1418741983728,0,None,yes,yes,1690,left,C,1578
17,19,1418741988834,0,None,no,no,2047,right,C,1653
17,20,1418741993118,0,None,yes,yes,1500,top,C,1379
18,17,1418742510599,22,Line,yes,yes,1864,right,A,2966
18,16,1418742504338,19,Line,yes,yes,2542,left,A,3852
18,10,1418742461574,13,Ellipse,no,yes,2996,left,A,6560
18,19,1418742523651,10,Ellipse,no,yes,2043,right,A,3741
18,21,1418742536744,7,Dist,no,yes,2116,right,A,2308
18,14,1418742490370,4,Dist,yes,yes,2413,right,A,2566
18,12,1418742478293,1,None,no,yes,2019,left,A,7557
18,9,1418742450588,0,None,yes,yes,3002,left,C,2395
18,11,1418742467309,0,None,yes,yes,1703,top,C,2619
18,13,1418742483981,0,None,yes,yes,2100,right,C,2177
18,15,1418742496512,0,None,yes,yes,2409,top,C,2304
18,18,1418742516427,0,None,no,no,2503,right,C,1896
18,20,1418742530898,0,None,yes,yes,1808,right,C,4009
18,22,1418742543591,0,None,yes,yes,2454,left,C,2978
19,17,1418742672181,22,Line,no,yes,1192,left,A,593
19,11,1418742646326,19,Line,no,yes,1115,right,A,836
