ID,Rank,UTC,ItemNo,GroupingFactor,Grouped,ACC,RT_1,ChoiceLoc,ChoiceSym,RT_2
1,22,1416342405450,0,None,yes,TRUE,1293,left,C,1234
1,9,1416342278610,0,None,yes,TRUE,1899,right,C,1504
1,11,1416342288563,0,None,yes,TRUE,1727,right,C,1776
1,13,1416342296688,0,None,yes,TRUE,1045,right,C,1245
1,18,1416342315002,0,None,yes,TRUE,1614,top,C,1313
1,20,1416342396837,0,None,yes,TRUE,2076,top,C,1288
1,21,1416342401495,0,None,yes,TRUE,1908,left,C,1256
1,15,1416342304289,1,None,no,TRUE,1668,left,A,717
1,12,1416342292970,2,Small,yes,TRUE,1539,right,A,1381
1,17,1416342310623,3,Small,yes,TRUE,1235,left,A,405
1,19,1416342392035,4,Medium,yes,TRUE,74776,right,A,693
1,10,1416342283601,5,Medium,yes,TRUE,1939,left,A,1642
1,14,1416342300475,6,Large,no,TRUE,1334,left,A,1019
1,16,1416342307554,7,Large,no,TRUE,1042,right,A,800
2,23,1416320609212,0,None,yes,TRUE,1301,top,C,1237
2,10,1416320549715,0,None,yes,TRUE,5666,right,C,1615
2,12,1416320560394,0,None,yes,TRUE,2005,right,C,1503
2,14,1416320568178,0,None,yes,TRUE,829,right,C,758
2,15,1416320572346,0,None,yes,TRUE,1531,left,C,1230
2,17,1416320582500,0,None,yes,TRUE,1158,left,C,1766
2,22,1416320605252,0,None,yes,TRUE,1483,top,C,1382
2,16,1416320578169,1,None,no,TRUE,2845,right,A,1573
2,13,1416320565186,2,Small,yes,TRUE,2004,right,A,1382
2,20,1416320596900,3,Small,no,TRUE,1652,right,A,1142
2,11,1416320555483,4,Medium,no,TRUE,1978,left,A,2383
2,21,1416320600980,5,Medium,yes,TRUE,1460,left,A,1215
2,18,1416320586916,6,Large,yes,TRUE,1812,right,A,1171
2,19,1416320592700,7,Large,yes,TRUE,1486,left,A,2894
3,9,1416261860731,0,None,yes,FALSE,12786,right,C,3325
3,11,1416261871697,0,None,yes,TRUE,1431,top,C,2780
3,15,1416261891060,0,None,yes,TRUE,1731,left,C,1481
3,16,1416261895142,0,None,yes,TRUE,1590,right,C,1080
3,18,1416261905948,0,None,yes,TRUE,1060,right,C,4159
3,19,1416261910281,0,None,yes,TRUE,1410,top,C,1514
3,20,1416261913663,0,None,yes,TRUE,1069,left,C,896
3,17,1416261899303,1,None,no,TRUE,1802,right,A,939
3,22,1416261922264,2,Small,yes,TRUE,1482,right,A,1058
3,10,1416261866074,3,Small,no,TRUE,2062,right,A,1871
3,12,1416261876830,4,Medium,yes,TRUE,2035,right,A,1674
3,21,1416261918314,5,Medium,no,TRUE,1811,right,A,1421
3,13,1416261881982,6,Large,yes,TRUE,2180,right,A,1554
3,14,1416261886437,7,Large,yes,TRUE,1492,left,A,1541
4,10,1416406548192,0,None,yes,TRUE,4097,right,C,2147
4,12,1416406558984,0,None,yes,TRUE,1528,left,C,1784
4,17,1416406582184,0,None,yes,TRUE,1599,right,C,1945
4,19,1416406591616,0,None,yes,TRUE,1535,left,C,1687
4,20,1416406596208,0,None,yes,TRUE,1544,right,C,1633
4,21,1416406600352,0,None,yes,TRUE,1322,top,C,1408
4,22,1416406604415,0,None,yes,TRUE,1309,top,C,1329
4,23,1416406608799,1,None,no,TRUE,1530,right,A,1441
4,14,1416406568744,2,Small,no,TRUE,1670,left,A,1689
4,16,1416406577224,3,Small,no,TRUE,1434,right,A,1391
4,18,1416406586975,4,Medium,yes,TRUE,1731,right,A,1618
4,13,1416406563944,5,Medium,no,TRUE,2045,right,A,1490
4,11,1416406554240,6,Large,yes,TRUE,1929,right,A,2699
4,15,1416406572968,7,Large,no,TRUE,1623,right,A,1190
5,22,1416322150194,0,None,yes,TRUE,4021,left,C,3334
5,9,1416322074414,0,None,yes,TRUE,3381,right,C,2790
5,12,1416322093015,0,None,no,TRUE,2099,top,D,2278
5,13,1416322097895,0,None,yes,TRUE,1580,top,C,1895
5,14,1416322102639,0,None,yes,TRUE,1644,right,C,1695
5,18,1416322122481,0,None,yes,TRUE,1348,right,C,2335
5,20,1416322135970,0,None,yes,TRUE,2132,top,C,2903
5,17,1416322117392,1,None,no,TRUE,1740,left,A,1719
5,15,1416322107464,2,Small,yes,TRUE,1980,right,A,1439
5,21,1416322141434,3,Small,yes,TRUE,1957,left,A,2102
5,10,1416322080566,4,Medium,yes,TRUE,2610,right,A,2135
5,16,1416322112528,5,Medium,no,TRUE,2212,right,A,1447
5,11,1416322087231,6,Large,yes,TRUE,3612,right,A,1647
5,19,1416322129530,7,Large,yes,TRUE,4005,left,A,1639
6,9,1416429613632,0,None,yes,TRUE,2635,right,C,1868
6,12,1416429630566,0,None,yes,TRUE,1383,right,C,1876
6,13,1416429635647,0,None,yes,TRUE,1789,left,C,1887
6,15,1416429645950,0,None,yes,TRUE,1766,left,C,1775
6,16,1416429650375,0,None,yes,TRUE,1517,top,C,1503
6,17,1416429654983,0,None,yes,TRUE,1459,right,C,1742
6,19,1416429665934,0,None,yes,TRUE,2132,top,C,1512
6,21,1416429674187,1,None,no,TRUE,1425,right,A,1207
6,11,1416429625902,2,Small,yes,TRUE,2197,right,A,1807
6,18,1416429660886,3,Small,no,TRUE,2894,right,A,1607
6,14,1416429641007,4,Medium,yes,TRUE,2123,right,A,1831
6,20,1416429670151,5,Medium,no,TRUE,1566,right,A,1248
6,22,1416429678714,6,Large,yes,TRUE,1790,right,A,1335
6,10,1416429620495,7,Large,no,TRUE,2882,right,A,2575
7,22,1416429290629,0,None,yes,TRUE,1030,right,C,1496
7,9,1416429236654,0,None,yes,TRUE,1804,right,C,2782
7,14,1416429256648,0,None,yes,TRUE,1692,left,C,1321
7,15,1416429262437,0,None,yes,TRUE,1639,left,C,2719
7,16,1416429266549,0,None,yes,TRUE,1240,top,C,1290
7,18,1416429274502,0,None,yes,TRUE,1576,top,C,1238
7,21,1416429286657,0,None,yes,TRUE,871,right,C,1188
7,13,1416429252022,1,None,no,TRUE,690,left,A,967
7,19,1416429278620,2,Small,no,TRUE,1499,left,A,1171
7,20,1416429283181,3,Small,no,TRUE,1751,right,A,1301
7,12,1416429248943,4,Medium,no,TRUE,1032,left,A,1008
7,11,1416429245477,5,Medium,no,TRUE,1716,right,A,1111
7,17,1416429270145,6,Large,no,TRUE,1224,left,A,961
7,10,1416429241215,7,Large,no,TRUE,1755,right,A,1377
8,22,1416431196117,0,None,yes,TRUE,1066,top,C,2636
8,9,1416431133022,0,None,yes,TRUE,2194,right,C,1911
8,11,1416431142287,0,None,yes,TRUE,1334,right,C,1303
8,12,1416431146563,0,None,yes,TRUE,1586,left,C,1261
8,13,1416431150506,0,None,yes,TRUE,1116,right,C,1418
8,15,1416431161519,0,None,yes,TRUE,1448,top,C,2765
8,21,1416431190991,0,None,yes,TRUE,1747,left,C,1308
8,18,1416431178177,1,None,no,TRUE,1700,left,A,3215
8,16,1416431166268,2,Small,no,TRUE,1743,left,A,1585
8,17,1416431171846,3,Small,no,TRUE,2750,right,A,1417
8,14,1416431155860,4,Medium,no,TRUE,2422,left,A,1536
8,19,1416431182316,5,Medium,no,TRUE,1631,right,A,1073
8,20,1416431186516,6,Large,no,TRUE,1566,left,A,1209
8,10,1416431138233,7,Large,no,TRUE,1866,right,A,1907
9,12,1416343407816,0,None,yes,TRUE,2551,right,C,1753
9,14,1416343417376,0,None,yes,TRUE,1356,right,C,1461
9,15,1416343421583,0,None,yes,TRUE,1359,left,C,1422
9,16,1416343425783,0,None,yes,TRUE,1279,top,C,1369
9,18,1416343434527,0,None,yes,TRUE,1644,left,C,1453
9,19,1416343438525,0,None,yes,TRUE,1205,top,C,1328
9,20,1416343442579,0,None,yes,TRUE,1213,right,C,1415
9,25,1416343464608,1,None,no,TRUE,1544,left,A,1131
9,24,1416343460521,2,Small,no,TRUE,1457,left,A,1427
9,22,1416343451990,3,Small,yes,TRUE,1583,left,A,1294
9,17,1416343430007,4,Medium,no,TRUE,1492,left,A,1325
